"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","494","negativeLogin","Surefire suite","Fri May 22 16:39:36 UTC 2026","passed","Fri May 22 16:39:36 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","438","checkLoginWithNegativeCred","Surefire suite","Fri May 22 16:39:39 UTC 2026","passed","Fri May 22 16:39:39 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"","429","checkLoginWithEmptyUser","Surefire suite","Fri May 22 16:39:42 UTC 2026","passed","Fri May 22 16:39:43 UTC 2026","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLoginWithEmptyUser"
"Проверка входа в систему с позитивными кредами","1397","Проверка входа в систему с позитивными кредами","Surefire suite","Fri May 22 16:39:37 UTC 2026","passed","Fri May 22 16:39:38 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"","659","Проверка входа в систему с пустым полем пароля","Surefire suite","Fri May 22 16:39:41 UTC 2026","passed","Fri May 22 16:39:42 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkLoginWithEmptyPassword"
"","7932","negativeLogin","Surefire suite","Fri May 22 16:39:27 UTC 2026","passed","Fri May 22 16:39:35 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","450","checkLoginWithEmptyUser","Surefire suite","Fri May 22 16:39:39 UTC 2026","passed","Fri May 22 16:39:40 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"","435","Проверка входа в систему с пустым полем пароля","Surefire suite","Fri May 22 16:39:40 UTC 2026","passed","Fri May 22 16:39:41 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
