"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","692","Проверка входа в систему с пустым полем пароля","Surefire suite","Fri May 22 16:37:12 UTC 2026","passed","Fri May 22 16:37:13 UTC 2026","tests.CartTest","Surefire test","tests.CartTest","checkLoginWithEmptyPassword"
"","469","checkLoginWithEmptyUser","Surefire suite","Fri May 22 16:37:11 UTC 2026","passed","Fri May 22 16:37:11 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"","455","checkLoginWithEmptyUser","Surefire suite","Fri May 22 16:37:13 UTC 2026","passed","Fri May 22 16:37:14 UTC 2026","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLoginWithEmptyUser"
"Проверка входа в систему с позитивными кредами","758","Проверка входа в систему с позитивными кредами","Surefire suite","Fri May 22 16:37:09 UTC 2026","passed","Fri May 22 16:37:09 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"","465","Проверка входа в систему с пустым полем пароля","Surefire suite","Fri May 22 16:37:11 UTC 2026","passed","Fri May 22 16:37:12 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","440","checkLoginWithNegativeCred","Surefire suite","Fri May 22 16:37:10 UTC 2026","passed","Fri May 22 16:37:10 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"","477","negativeLogin","Surefire suite","Fri May 22 16:37:08 UTC 2026","passed","Fri May 22 16:37:08 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","2859","negativeLogin","Surefire suite","Fri May 22 16:37:04 UTC 2026","passed","Fri May 22 16:37:07 UTC 2026","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
