"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3064","negativeLogin","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
"","469","checkLoginWithNegativeCred","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithNegativeCred"
"","472","checkLoginWithEmptyUser","Surefire suite","2026-06-03","passed","2026-06-03","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLoginWithEmptyUser"
"Проверка входа в систему с позитивными кредами","796","Проверка входа в систему с позитивными кредами","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithPositiveCred"
"","703","Проверка входа в систему с пустым полем пароля","Surefire suite","2026-06-03","passed","2026-06-03","tests.CartTest","Surefire test","tests.CartTest","checkLoginWithEmptyPassword"
"","511","Проверка входа в систему с пустым полем пароля","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","482","checkLoginWithEmptyUser","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUser"
"","521","negativeLogin","Surefire suite","2026-06-03","passed","2026-06-03","tests.LoginTest","Surefire test","tests.LoginTest","negativeLogin"
